,station_code,capacity,station_name,latitude,longitude
130,6004,46.0,Regard - Rennes,48.847385404956,2.3268555477262
131,6005,49.0,Montparnasse -  Square Ozanam,48.843310567822,2.3265242949128
132,6006,19.0,Notre-Dame-des-Champs - Stanislas,48.84479928858768,2.329337755887181
133,6007,24.0,Bréa - Raspail,48.842738478258,2.3297942217634
134,6008,33.0,Assas - Luxembourg,48.843734468779,2.3334283818759
135,6009,36.0,Guynemer - Jardin du Luxembourg,48.8466127,2.3325478
136,6010,15.0,Chevreuse - Montparnasse,48.841739161231,2.3315522167367
137,6012,17.0,Saint-Germain - Ciseaux,48.853305277595,2.3344654618827
138,6013,28.0,Jacques Callot - Mazarine,48.855280175332,2.3375743255019
139,6014,23.0,Pont de Lodi - Dauphine,48.855296898603285,2.339947307565249
140,6015,55.0,André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166
141,6016,36.0,Danton - Serpente,48.852297362582,2.3414132371545
142,6017,33.0,Sénat - Condé,48.84954227788459,2.337939441204071
143,6018,18.0,Michelet - Assas,48.842741502832,2.3350211977959
144,6020,37.0,Place Saint-André des Arts,48.852886173881,2.3426544293761
145,6021,19.0,Beaux-Arts - Bonaparte,48.856451985396,2.3348518833518
146,6022,22.0,Marché Saint-Germain,48.85165625855281,2.335500307381153
147,6025,32.0,Assas - Rennes,48.8492084999386,2.32851454623001
148,6026,66.0,Saint-Placide - Cherche Midi,48.8490535919234,2.325317971408367
149,6027,31.0,Blaise-Desgoffe - Vaugirard,48.846128877747,2.3242672160268
150,6028,37.0,Quatre Vents - Carrefour de l'Odéon,48.851751374458864,2.338161695134053
151,6029,26.0,Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124
152,6030,35.0,Assas - Vaugirard,48.848274111398,2.3292413726449
153,6031,33.0,Pierre Sarrazin - Saint-Michel,48.850908146398,2.342130728066
154,6032,26.0,Sabot - Rennes,48.852575112948415,2.331552766263485
155,6103,55.0,Mézières - Rennes ,48.85023459321703,2.3303819820284843
156,6104,56.0,Herschel - Observatoire,48.84342376221923,2.337664514780045
157,6107,23.0,Place Alphonse Deville,48.850188262662,2.3275961726904
158,6108,17.0,Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348
159,6201,21.0,Saint Pères - Saint Germain,48.853729675265,2.3300181032703
160,7002,35.0,Vaneau - Sèvres,48.848563233059,2.3204218259346
161,7003,60.0,Square Boucicaut,48.85129643366528,2.325061820447445
162,7004,17.0,Raspail - Varenne,48.853147816545,2.3263905197382
163,7005,52.0,Raspail - Bac,48.855628721101,2.3256602883339
164,7006,32.0,Quai Voltaire,48.858942986179,2.3314182047146
165,7007,65.0,Musée d'Orsay,48.859726157909,2.3258604481816
166,7008,16.0,Villersexel - Saint-Germain,48.858297001218,2.3237934708595
167,7009,76.0,Assemblée Nationale,48.861411014652,2.3201214185208
168,7010,65.0,Constantine - Université,48.860680473738,2.3148481955842
169,7012,26.0,Cité Vaneau,48.8542210666207,2.319614924490452
170,7013,42.0,Duroc - Place de Breteuil,48.847460641142,2.3126140236855
171,7014,42.0,Saint-François-Xavier,48.85154484769,2.3146149516106
172,7015,47.0,Varenne,48.857202661803,2.3152771219611
173,7016,57.0,Surcouf - Université,48.861273016278,2.3094535509142
174,7017,40.0,La Motte-Picquet - La Tour Maubourg,48.856926701847,2.3096215831203
175,7018,19.0,Ségur - d'Estrées,48.851419978983,2.3097044974566
176,7020,40.0,Champ de Mars - Cler,48.85669155011532,2.306646779179573
177,7021,28.0,Bosquet - Saint-Dominique,48.858651709526,2.3037165802346
178,7023,60.0,Bourdonnais - Tour Eiffel,48.860897797941,2.295599598447
179,7024,31.0,Rapp - Place du Général Gouraud,48.858102885107,2.3004072904587
180,7025,33.0,Octave Gréard - Tour Eiffel,48.856502977696,2.2931787543289
181,7026,25.0,Place de Finlande,48.862408335967,2.3113624379039
182,7101,49.0,Raspail - Chomel,48.852233164303,2.3266580700874
183,7102,48.0,Mairie du 7ème,48.8577967,2.3192664
184,7109,38.0,Place Joffre - Frédéric le Play,48.853754486938,2.3044242337346
185,7111,26.0,Ecole Militaire - Place Joffre,48.852060203583,2.3017993569374
186,7201,18.0,Place De Fontenoy - Saxe,48.850270554523,2.3069813815839
187,7202,31.0,Constant Coquelin - Invalides,48.848283157236,2.315749520203
188,7203,25.0,Martignac - Grenelle,48.858278471985,2.3187066793468
189,8001,46.0,Petit Palais,48.8667692,2.3157655
190,8002,74.0,Gare Saint-Lazare - Cour du Havre,48.875674400851,2.3265598341823
191,8003,47.0,Galilée - Vernet,48.871715878697,2.2985444962978
192,8004,84.0,Malesherbes - Place de la Madeleine,48.870406028483,2.323243509808
193,8007,30.0,Rome - Provence,48.87423005558031,2.325570111724113
194,8008,32.0,Joseph Sansboeuf - Saint Lazare,48.875315630653,2.3229019716382
195,8009,27.0,Gare Saint-Lazare - Isly,48.874777677621296,2.326515804784655
196,8010,17.0,Liège - Moscou,48.8795431,2.3264628
197,8011,15.0,Clapeyron - Moscou,48.88078819514121,2.324815057218075
198,8012,47.0,Batignolles - Place de Clichy,48.883474535757,2.326493114233
199,8013,63.0,,,
200,8015,53.0,Roquépine - Malesherbes,48.873450733908,2.3204044997692
201,8016,29.0,Square Louis XVI,48.87320440102894,2.323658830743138
202,8017,65.0,Rocher - Laborde,48.87590240712654,2.322616316378116
203,8018,44.0,Saint-Augustin,48.8762009747008,2.319786250591278
204,8019,26.0,Naples - Rome,48.87996070084623,2.321358695626259
205,8020,44.0,Batignolles - Beudant,48.882164014664,2.3198529705405
206,8025,35.0,Miromesnil - La Boétie,48.873722412917,2.3158480972052
207,8026,12.0,Messine - Place Du Pérou,48.87544803396074,2.315508019010038
208,8027,28.0,Mairie du 8ème,48.877932,2.318264
209,8029,58.0,Place du Canada,48.865346269363,2.3101937879648
210,8031,49.0,Jean Mermoz - Champs-Elysées,48.869689856852,2.3107324540615
211,8033,42.0,Commandant Rivière,48.872933,2.309796
212,8034,47.0,Berri - Haussmann,48.874746047357135,2.3082953318953514
213,8035,37.0,Bienfaisance - Place de Narvik,48.87660163459077,2.3129771277308464
214,8036,47.0,Lisbonne - Monceau,48.877455676814,2.3096942214195
215,8037,38.0,Monceau - Malesherbes,48.8795079,2.3145456
216,8038,53.0,François 1er - Montaigne,48.866887649978,2.3066755757207
217,8039,17.0,Colisée - Champs-Elysées,48.870475399387,2.3076190799475
218,8040,27.0,Pierre Charron - Champs-Elysées,48.870103359864,2.3043501377106
219,8044,34.0,Alfred de Vigny - Place du Général Brocard,48.87836138361425,2.305254448220567
220,8045,57.0,Place de la Reine Astrid,48.864920982538,2.3025491823859
221,8046,32.0,Marceau - Président Wilson,48.8652359,2.3002513
222,8048,21.0,Marceau - Chaillot,48.868834023334,2.2986030816809
223,8049,22.0,Georges V - François 1er,48.87034,2.30082
224,8050,45.0,Boétie - Ponthieu,48.871417284355,2.3076787590981
225,8051,14.0,Batignolles - Rome,48.881823370567,2.3202589899302
226,8052,30.0,Balzac - Champs Elysées,48.872699639621,2.3001953959465
227,8053,29.0,Place Georges Guillaumin,48.874750203957,2.301771435326
