Date,Station,Regulation
2026-02-18 00:00:00,22016,-15
2026-02-18 00:00:00,16018,+15
2026-02-18 00:00:00,16025,-15
2026-02-18 00:00:00,22604,+15
2026-02-18 00:00:00,21314,-15
2026-02-18 00:00:00,21326,+15
2026-02-18 00:00:00,15070,-15
2026-02-18 00:00:00,21205,+15
2026-02-18 00:00:00,6015,-15
2026-02-18 00:00:00,22401,+15
2026-02-18 00:00:00,21006,-15
2026-02-18 00:00:00,25010,+15
2026-02-18 00:00:00,21511,-15
2026-02-18 00:00:00,51001,+15
2026-02-18 00:00:00,22304,-15
2026-02-18 00:00:00,51005,+15
2026-02-18 00:00:00,26010,-15
2026-02-18 00:00:00,17005,+15
2026-02-19 00:00:00,8020,+15
2026-02-19 00:00:00,7005,-15
2026-02-19 00:00:00,13515,+15
2026-02-19 00:00:00,21308,-15
2026-02-19 00:00:00,16129,+15
2026-02-19 00:00:00,16030,-15
2026-02-19 00:00:00,16020,+15
2026-02-19 00:00:00,15060,-15
2026-02-19 00:00:00,21209,+15
2026-02-19 00:00:00,21310,-15
2026-02-19 00:00:00,16002,+15
2026-02-19 00:00:00,8046,-15
2026-02-19 00:00:00,17021,+15
2026-02-19 00:00:00,23009,-15
2026-02-19 00:00:00,17048,+15
2026-02-19 00:00:00,8031,-15
2026-02-19 00:00:00,17122,+15
2026-02-19 00:00:00,1026,-15
2026-02-19 00:00:00,10033,+15
2026-02-19 00:00:00,7101,-15
2026-02-19 00:00:00,14110,+15
2026-02-19 00:00:00,7006,-15
2026-02-19 00:00:00,15044,+15
2026-02-19 00:00:00,2016,-15
2026-02-19 00:00:00,14030,+15
2026-02-19 00:00:00,12001,-15
2026-02-19 00:00:00,13032,+15
2026-02-19 00:00:00,13015,-15
2026-02-19 00:00:00,43403,+15
2026-02-19 00:00:00,44101,-15
2026-02-19 00:00:00,12163,+15
2026-02-19 00:00:00,44001,-15
2026-02-19 00:00:00,47005,+15
2026-02-19 00:00:00,42004,-15
2026-02-19 00:00:00,42205,+15
2026-02-19 00:00:00,42014,-15
2026-02-19 00:00:00,13041,+15
2026-02-19 00:00:00,6031,-15
2026-02-19 00:00:00,21702,+15
2026-02-19 00:00:00,6003,-15
2026-02-19 00:00:00,18016,+15
2026-02-19 00:00:00,9022,-15
2026-02-19 00:00:00,33006,+15
2026-02-19 00:00:00,32023,-15
2026-02-19 00:00:00,32022,+15
2026-02-19 00:00:00,23903,-15
2026-02-19 00:00:00,18029,+15
2026-02-19 00:00:00,9102,-15
2026-02-19 00:00:00,17050,+15
2026-02-19 00:00:00,7024,-15
2026-02-19 00:00:00,18206,+15
2026-02-19 00:00:00,18138,-15
2026-02-19 00:00:00,18023,+15
2026-02-19 00:00:00,26010,-15
2026-02-19 00:00:00,18141,+15
2026-02-19 00:00:00,9101,-15
2026-02-19 00:00:00,9007,+15
2026-02-19 00:00:00,9015,-15
2026-02-19 00:00:00,18139,+15
2026-02-19 00:00:00,20008,+15
2026-02-19 00:00:00,8013,-15
2026-02-19 00:00:00,20001,+15
2026-02-19 00:00:00,12161,-15
2026-02-19 00:00:00,12115,+15
2026-02-19 00:00:00,12153,-15
2026-02-19 00:00:00,12111,+15
2026-02-19 00:00:00,3006,-15
2026-02-19 00:00:00,10164,+15
2026-02-19 00:00:00,6014,-15
2026-02-19 00:00:00,18142,+15
2026-02-19 00:00:00,3008,-15
2026-02-19 00:00:00,11035,+15
2026-02-19 00:00:00,2002,-15
2026-02-19 00:00:00,31013,+15
2026-02-19 00:00:00,1201,-15
2026-02-19 00:00:00,18113,+15
2026-02-19 00:00:00,9014,-15
2026-02-19 00:00:00,19130,+15
2026-02-19 00:00:00,6032,-15
2026-02-19 00:00:00,14003,+15
2026-02-19 00:00:00,15129,-15
2026-02-19 00:00:00,14008,+15
2026-02-19 00:00:00,15008,-15
2026-02-19 00:00:00,15011,+15
2026-02-19 00:00:00,15106,-15
2026-02-19 00:00:00,16031,+15
2026-02-19 00:00:00,15072,-15
2026-02-19 00:00:00,21215,+15
2026-02-19 00:00:00,21323,-15
2026-02-19 00:00:00,21952,+15
2026-02-19 00:00:00,21029,-15
2026-02-19 00:00:00,23105,+15
2026-02-19 00:00:00,21027,-15
2026-02-19 00:00:00,21326,+15
2026-02-19 00:00:00,6013,-15
2026-02-19 00:00:00,18112,+15
2026-02-19 00:00:00,34012,-15
2026-02-19 00:00:00,17003,+15
